Year,Advisors,AUM_Crore,Folios_Crore,Literacy,Trust_Percent,Data_Status
2010,297,752875,2.64,27,58,Estimated
2011,322,836528,2.87,29,60,Estimated
2012,350,929475,3.11,30,62,Estimated
2013,381,1032750,3.39,32,65,Estimated
2014,414,1147500,3.68,33,67,Estimated
2015,450,1275000,4.00,35,69,Real
2016,580,1637500,4.99,38,71,Interpolated
2017,710,2000000,5.99,40,73,Real
2018,840,2367333,6.98,43,76,Interpolated
2019,970,2734667,7.98,46,78,Interpolated
2020,1100,3102000,8.97,49,80,Real
2021,1066,3999750,12.63,52,82,Interpolated
2022,1031,4897500,16.30,54,84,Interpolated
2023,996,5795250,19.96,57,87,Interpolated
2024,962,6693000,23.63,60,89,Real
2025,930,8023379,26.13,63,91,Real
